,GeneID,GO_ID,gene-symbol,GO_term,gene-score
185,43,GO:0001507,ACHE,acetylcholine catabolic process in synaptic cleft,2.0
186,43,GO:0001540,ACHE,amyloid-beta binding,2.0
187,43,GO:0001919,ACHE,regulation of receptor recycling,2.0
188,43,GO:0002076,ACHE,osteoblast development,2.0
189,43,GO:0003990,ACHE,acetylcholinesterase activity,2.0
191,43,GO:0004104,ACHE,cholinesterase activity,2.0
192,43,GO:0005515,ACHE,protein binding,2.0
193,43,GO:0005518,ACHE,collagen binding,2.0
194,43,GO:0005576,ACHE,extracellular region,2.0
196,43,GO:0005604,ACHE,basement membrane,2.0
197,43,GO:0005615,ACHE,extracellular space,2.0
198,43,GO:0005634,ACHE,nucleus,2.0
199,43,GO:0005794,ACHE,Golgi apparatus,2.0
200,43,GO:0005886,ACHE,plasma membrane,2.0
201,43,GO:0006581,ACHE,acetylcholine catabolic process,2.0
202,43,GO:0006656,ACHE,phosphatidylcholine biosynthetic process,2.0
203,43,GO:0007155,ACHE,cell adhesion,2.0
204,43,GO:0007399,ACHE,nervous system development,2.0
205,43,GO:0007416,ACHE,synapse assembly,2.0
206,43,GO:0009986,ACHE,cell surface,2.0
207,43,GO:0016020,ACHE,membrane,2.0
208,43,GO:0016787,ACHE,hydrolase activity,2.0
209,43,GO:0017171,ACHE,serine hydrolase activity,2.0
210,43,GO:0031225,ACHE,anchored component of membrane,2.0
211,43,GO:0031594,ACHE,neuromuscular junction,2.0
212,43,GO:0031623,ACHE,receptor internalization,2.0
213,43,GO:0032223,ACHE,"negative regulation of synaptic transmission, cholinergic",2.0
214,43,GO:0042136,ACHE,neurotransmitter biosynthetic process,2.0
215,43,GO:0042166,ACHE,acetylcholine binding,2.0
217,43,GO:0042803,ACHE,protein homodimerization activity,2.0
218,43,GO:0042982,ACHE,amyloid precursor protein metabolic process,2.0
219,43,GO:0043083,ACHE,synaptic cleft,2.0
220,43,GO:0043236,ACHE,laminin binding,2.0
221,43,GO:0043621,ACHE,protein self-association,2.0
222,43,GO:0045202,ACHE,synapse,2.0
223,43,GO:0048471,ACHE,perinuclear region of cytoplasm,2.0
224,43,GO:0050714,ACHE,positive regulation of protein secretion,2.0
225,43,GO:0052689,ACHE,carboxylic ester hydrolase activity,2.0
226,43,GO:0060041,ACHE,retina development in camera-type eye,2.0
227,43,GO:0120162,ACHE,positive regulation of cold-induced thermogenesis,2.0
403,100,GO:0001666,ADA,response to hypoxia,2.0
404,100,GO:0001821,ADA,histamine secretion,2.0
405,100,GO:0001829,ADA,trophectodermal cell differentiation,2.0
406,100,GO:0001883,ADA,purine nucleoside binding,2.0
407,100,GO:0001889,ADA,liver development,2.0
408,100,GO:0001890,ADA,placenta development,2.0
409,100,GO:0002314,ADA,germinal center B cell differentiation,2.0
410,100,GO:0002636,ADA,positive regulation of germinal center formation,2.0
411,100,GO:0002686,ADA,negative regulation of leukocyte migration,2.0
412,100,GO:0002906,ADA,negative regulation of mature B cell apoptotic process,2.0
413,100,GO:0004000,ADA,adenosine deaminase activity,2.0
417,100,GO:0005515,ADA,protein binding,2.0
418,100,GO:0005615,ADA,extracellular space,2.0
419,100,GO:0005764,ADA,lysosome,2.0
420,100,GO:0005829,ADA,cytosol,2.0
423,100,GO:0005886,ADA,plasma membrane,2.0
424,100,GO:0006154,ADA,adenosine catabolic process,2.0
427,100,GO:0006157,ADA,deoxyadenosine catabolic process,2.0
428,100,GO:0007155,ADA,cell adhesion,2.0
429,100,GO:0007568,ADA,aging,2.0
430,100,GO:0008270,ADA,zinc ion binding,2.0
432,100,GO:0009168,ADA,purine ribonucleoside monophosphate biosynthetic process,2.0
433,100,GO:0009897,ADA,external side of plasma membrane,2.0
435,100,GO:0009986,ADA,cell surface,2.0
436,100,GO:0010460,ADA,positive regulation of heart rate,2.0
437,100,GO:0016020,ADA,membrane,2.0
438,100,GO:0030054,ADA,cell junction,2.0
439,100,GO:0030890,ADA,positive regulation of B cell proliferation,2.0
440,100,GO:0032261,ADA,purine nucleotide salvage,2.0
441,100,GO:0032839,ADA,dendrite cytoplasm,2.0
442,100,GO:0033089,ADA,positive regulation of T cell differentiation in thymus,2.0
443,100,GO:0033197,ADA,response to vitamin E,2.0
444,100,GO:0033632,ADA,regulation of cell-cell adhesion mediated by integrin,2.0
445,100,GO:0042110,ADA,T cell activation,2.0
447,100,GO:0042323,ADA,"negative regulation of circadian sleep/wake cycle, non-REM sleep",2.0
448,100,GO:0042493,ADA,response to drug,2.0
449,100,GO:0042542,ADA,response to hydrogen peroxide,2.0
450,100,GO:0043025,ADA,neuronal cell body,2.0
451,100,GO:0043101,ADA,purine-containing compound salvage,2.0
452,100,GO:0043103,ADA,hypoxanthine salvage,2.0
453,100,GO:0043278,ADA,response to morphine,2.0
454,100,GO:0045987,ADA,positive regulation of smooth muscle contraction,2.0
455,100,GO:0046061,ADA,dATP catabolic process,2.0
456,100,GO:0046103,ADA,inosine biosynthetic process,2.0
459,100,GO:0046111,ADA,xanthine biosynthetic process,2.0
460,100,GO:0046638,ADA,positive regulation of alpha-beta T cell differentiation,2.0
461,100,GO:0048286,ADA,lung alveolus development,2.0
462,100,GO:0048541,ADA,Peyer's patch development,2.0
463,100,GO:0048566,ADA,embryonic digestive tract development,2.0
464,100,GO:0050728,ADA,negative regulation of inflammatory response,2.0
465,100,GO:0050850,ADA,positive regulation of calcium-mediated signaling,2.0
466,100,GO:0050862,ADA,positive regulation of T cell receptor signaling pathway,2.0
467,100,GO:0060169,ADA,negative regulation of adenosine receptor signaling pathway,2.0
469,100,GO:0060205,ADA,cytoplasmic vesicle lumen,2.0
470,100,GO:0060407,ADA,negative regulation of penile erection,2.0
471,100,GO:0070244,ADA,negative regulation of thymocyte apoptotic process,2.0
472,100,GO:0070256,ADA,negative regulation of mucus secretion,2.0
