,GeneID,GO_ID,gene-symbol,GO_term,gene-score
553,23394,GO:0000785,ADNP,chromatin,1.0
554,23394,GO:0000981,ADNP,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.0
555,23394,GO:0003677,ADNP,DNA binding,1.0
556,23394,GO:0005507,ADNP,copper ion binding,1.0
557,23394,GO:0005515,ADNP,protein binding,1.0
558,23394,GO:0005615,ADNP,extracellular space,1.0
559,23394,GO:0005634,ADNP,nucleus,1.0
560,23394,GO:0005737,ADNP,cytoplasm,1.0
561,23394,GO:0006357,ADNP,regulation of transcription by RNA polymerase II,1.0
562,23394,GO:0007614,ADNP,short-term memory,1.0
563,23394,GO:0009743,ADNP,response to carbohydrate,1.0
564,23394,GO:0010035,ADNP,response to inorganic substance,1.0
565,23394,GO:0010468,ADNP,regulation of gene expression,1.0
566,23394,GO:0010629,ADNP,negative regulation of gene expression,1.0
567,23394,GO:0010835,ADNP,regulation of protein ADP-ribosylation,1.0
568,23394,GO:0019934,ADNP,cGMP-mediated signaling,1.0
569,23394,GO:0030424,ADNP,axon,1.0
570,23394,GO:0030425,ADNP,dendrite,1.0
571,23394,GO:0031668,ADNP,cellular response to extracellular stimulus,1.0
572,23394,GO:0032091,ADNP,negative regulation of protein binding,1.0
573,23394,GO:0032147,ADNP,activation of protein kinase activity,1.0
574,23394,GO:0033484,ADNP,nitric oxide homeostasis,1.0
575,23394,GO:0042277,ADNP,peptide binding,1.0
576,23394,GO:0043025,ADNP,neuronal cell body,1.0
577,23394,GO:0043524,ADNP,negative regulation of neuron apoptotic process,1.0
578,23394,GO:0044849,ADNP,estrous cycle,1.0
579,23394,GO:0045773,ADNP,positive regulation of axon extension,1.0
580,23394,GO:0048487,ADNP,beta-tubulin binding,1.0
581,23394,GO:0050731,ADNP,positive regulation of peptidyl-tyrosine phosphorylation,1.0
582,23394,GO:0050805,ADNP,negative regulation of synaptic transmission,1.0
583,23394,GO:0051965,ADNP,positive regulation of synapse assembly,1.0
584,23394,GO:0090575,ADNP,RNA polymerase II transcription regulator complex,1.0
598,158,GO:0001666,ADSL,response to hypoxia,1.0
599,158,GO:0004018,ADSL,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",1.0
600,158,GO:0004018,ADSL,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",1.0
601,158,GO:0005829,ADSL,cytosol,1.0
602,158,GO:0005829,ADSL,cytosol,1.0
603,158,GO:0005829,ADSL,cytosol,1.0
604,158,GO:0006164,ADSL,purine nucleotide biosynthetic process,1.0
605,158,GO:0006167,ADSL,AMP biosynthetic process,1.0
606,158,GO:0006189,ADSL,'de novo' IMP biosynthetic process,1.0
607,158,GO:0007584,ADSL,response to nutrient,1.0
608,158,GO:0009060,ADSL,aerobic respiration,1.0
609,158,GO:0009168,ADSL,purine ribonucleoside monophosphate biosynthetic process,1.0
610,158,GO:0014850,ADSL,response to muscle activity,1.0
611,158,GO:0032991,ADSL,protein-containing complex,1.0
612,158,GO:0042594,ADSL,response to starvation,1.0
613,158,GO:0042802,ADSL,identical protein binding,1.0
614,158,GO:0044208,ADSL,'de novo' AMP biosynthetic process,1.0
615,158,GO:0044208,ADSL,'de novo' AMP biosynthetic process,1.0
616,158,GO:0070626,ADSL,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,1.0
617,2334,GO:0002151,AFF2,G-quadruplex RNA binding,1.0
618,2334,GO:0002151,AFF2,G-quadruplex RNA binding,1.0
619,2334,GO:0006397,AFF2,mRNA processing,1.0
620,2334,GO:0007420,AFF2,brain development,1.0
621,2334,GO:0007611,AFF2,learning or memory,1.0
622,2334,GO:0008380,AFF2,RNA splicing,1.0
623,2334,GO:0010468,AFF2,regulation of gene expression,1.0
624,2334,GO:0010468,AFF2,regulation of gene expression,1.0
625,2334,GO:0010629,AFF2,negative regulation of gene expression,1.0
626,2334,GO:0016607,AFF2,nuclear speck,1.0
627,2334,GO:0016607,AFF2,nuclear speck,1.0
628,2334,GO:0032783,AFF2,super elongation complex,1.0
629,2334,GO:0035063,AFF2,nuclear speck organization,1.0
630,2334,GO:0043484,AFF2,regulation of RNA splicing,1.0
631,2334,GO:0043484,AFF2,regulation of RNA splicing,1.0
890,27245,GO:0003677,AHDC1,DNA binding,1.0
891,27245,GO:0005515,AHDC1,protein binding,1.0
1003,7915,GO:0004777,ALDH5A1,succinate-semialdehyde dehydrogenase (NAD+) activity,1.0
1004,7915,GO:0004777,ALDH5A1,succinate-semialdehyde dehydrogenase (NAD+) activity,1.0
1005,7915,GO:0004777,ALDH5A1,succinate-semialdehyde dehydrogenase (NAD+) activity,1.0
1006,7915,GO:0004777,ALDH5A1,succinate-semialdehyde dehydrogenase (NAD+) activity,1.0
1007,7915,GO:0005739,ALDH5A1,mitochondrion,1.0
1008,7915,GO:0005739,ALDH5A1,mitochondrion,1.0
1009,7915,GO:0005739,ALDH5A1,mitochondrion,1.0
1010,7915,GO:0005759,ALDH5A1,mitochondrial matrix,1.0
1011,7915,GO:0006105,ALDH5A1,succinate metabolic process,1.0
1012,7915,GO:0006536,ALDH5A1,glutamate metabolic process,1.0
1013,7915,GO:0007417,ALDH5A1,central nervous system development,1.0
1014,7915,GO:0009450,ALDH5A1,gamma-aminobutyric acid catabolic process,1.0
1015,7915,GO:0009450,ALDH5A1,gamma-aminobutyric acid catabolic process,1.0
1016,7915,GO:0009450,ALDH5A1,gamma-aminobutyric acid catabolic process,1.0
1017,7915,GO:0009791,ALDH5A1,post-embryonic development,1.0
1018,7915,GO:0042135,ALDH5A1,neurotransmitter catabolic process,1.0
1019,7915,GO:0042802,ALDH5A1,identical protein binding,1.0
1020,7915,GO:0055114,ALDH5A1,oxidation-reduction process,1.0
1045,287,GO:0002027,ANK2,regulation of heart rate,1.0
1046,287,GO:0003283,ANK2,atrial septum development,1.0
1047,287,GO:0005515,ANK2,protein binding,1.0
1048,287,GO:0005739,ANK2,mitochondrion,1.0
1049,287,GO:0005764,ANK2,lysosome,1.0
1050,287,GO:0005769,ANK2,early endosome,1.0
1051,287,GO:0005829,ANK2,cytosol,1.0
1052,287,GO:0005856,ANK2,cytoskeleton,1.0
1053,287,GO:0005886,ANK2,plasma membrane,1.0
1054,287,GO:0005886,ANK2,plasma membrane,1.0
1055,287,GO:0005886,ANK2,plasma membrane,1.0
1056,287,GO:0005886,ANK2,plasma membrane,1.0
1057,287,GO:0006874,ANK2,cellular calcium ion homeostasis,1.0
1058,287,GO:0006888,ANK2,endoplasmic reticulum to Golgi vesicle-mediated transport,1.0
1059,287,GO:0006897,ANK2,endocytosis,1.0
1060,287,GO:0007010,ANK2,cytoskeleton organization,1.0
1061,287,GO:0008093,ANK2,cytoskeletal anchor activity,1.0
1062,287,GO:0010628,ANK2,positive regulation of gene expression,1.0
1063,287,GO:0010881,ANK2,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,1.0
1064,287,GO:0010881,ANK2,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,1.0
1065,287,GO:0010882,ANK2,regulation of cardiac muscle contraction by calcium ion signaling,1.0
1066,287,GO:0014704,ANK2,intercalated disc,1.0
1067,287,GO:0015031,ANK2,protein transport,1.0
1068,287,GO:0016323,ANK2,basolateral plasma membrane,1.0
1069,287,GO:0016324,ANK2,apical plasma membrane,1.0
1070,287,GO:0019899,ANK2,enzyme binding,1.0
1071,287,GO:0019901,ANK2,protein kinase binding,1.0
1072,287,GO:0030018,ANK2,Z disc,1.0
1073,287,GO:0030315,ANK2,T-tubule,1.0
1074,287,GO:0030507,ANK2,spectrin binding,1.0
1075,287,GO:0030507,ANK2,spectrin binding,1.0
1076,287,GO:0030674,ANK2,protein-macromolecule adaptor activity,1.0
1077,287,GO:0031430,ANK2,M band,1.0
1078,287,GO:0031647,ANK2,regulation of protein stability,1.0
1079,287,GO:0031672,ANK2,A band,1.0
1080,287,GO:0033292,ANK2,T-tubule organization,1.0
1081,287,GO:0033365,ANK2,protein localization to organelle,1.0
1082,287,GO:0034394,ANK2,protein localization to cell surface,1.0
1083,287,GO:0034613,ANK2,cellular protein localization,1.0
1084,287,GO:0036309,ANK2,protein localization to M-band,1.0
1085,287,GO:0036371,ANK2,protein localization to T-tubule,1.0
1086,287,GO:0042383,ANK2,sarcolemma,1.0
1087,287,GO:0043005,ANK2,neuron projection,1.0
1088,287,GO:0043034,ANK2,costamere,1.0
1089,287,GO:0043268,ANK2,positive regulation of potassium ion transport,1.0
1090,287,GO:0044325,ANK2,ion channel binding,1.0
1091,287,GO:0044325,ANK2,ion channel binding,1.0
1092,287,GO:0044325,ANK2,ion channel binding,1.0
1093,287,GO:0045211,ANK2,postsynaptic membrane,1.0
1094,287,GO:0050821,ANK2,protein stabilization,1.0
1095,287,GO:0051117,ANK2,ATPase binding,1.0
1096,287,GO:0051279,ANK2,regulation of release of sequestered calcium ion into cytosol,1.0
1097,287,GO:0051924,ANK2,regulation of calcium ion transport,1.0
1098,287,GO:0051928,ANK2,positive regulation of calcium ion transport,1.0
1099,287,GO:0055037,ANK2,recycling endosome,1.0
1100,287,GO:0055117,ANK2,regulation of cardiac muscle contraction,1.0
1101,287,GO:0060307,ANK2,regulation of ventricular cardiac muscle cell membrane repolarization,1.0
1102,287,GO:0070296,ANK2,sarcoplasmic reticulum calcium ion transport,1.0
1103,287,GO:0070972,ANK2,protein localization to endoplasmic reticulum,1.0
1104,287,GO:0072659,ANK2,protein localization to plasma membrane,1.0
1105,287,GO:0072659,ANK2,protein localization to plasma membrane,1.0
1106,287,GO:0072659,ANK2,protein localization to plasma membrane,1.0
1107,287,GO:0086004,ANK2,regulation of cardiac muscle cell contraction,1.0
1108,287,GO:0086005,ANK2,ventricular cardiac muscle cell action potential,1.0
1109,287,GO:0086014,ANK2,atrial cardiac muscle cell action potential,1.0
1110,287,GO:0086015,ANK2,SA node cell action potential,1.0
1111,287,GO:0086046,ANK2,membrane depolarization during SA node cell action potential,1.0
1112,287,GO:0086066,ANK2,atrial cardiac muscle cell to AV node cell communication,1.0
1113,287,GO:0086070,ANK2,SA node cell to atrial cardiac muscle cell communication,1.0
1114,287,GO:0086091,ANK2,regulation of heart rate by cardiac conduction,1.0
1115,287,GO:0086091,ANK2,regulation of heart rate by cardiac conduction,1.0
