,GeneID
5,43
10,100
11,109
19,116986
23,26523
25,192670
29,10142
32,270
33,275
39,301
42,322
43,51107
53,8853
57,259266
58,23245
63,57194
68,491
72,552
87,9044
96,776
102,8912
106,783
120,54862
124,900
127,10575
131,9578
134,1012
146,9662
148,95681
149,84952
158,5119
160,1139
162,10518
164,23332
171,22866
173,1268
175,152330
176,53942
177,27255
178,26047
179,79937
180,85445
186,23019
193,80315
197,1501
198,83992
201,9820
202,1523
205,23191
210,27071
214,8562
219,22982
220,27185
222,23259
225,1740
227,9229
231,1747
244,81704
246,57628
268,23167
271,1630
277,26610
280,56946
281,57634
288,2109
295,55914
300,2200
323,2567
326,26290
330,79893
338,2239
341,10243
345,2890
347,2894
350,2898
351,2260
354,55568
360,2901
361,2902
362,2903
364,23426
376,57520
380,59269
392,3150
400,3382
404,3608
408,26512
412,3690
415,3720
419,8850
420,7994
427,3766
432,3785
434,3790
439,23081
441,8242
442,7403
445,57691
447,9928
449,84623
461,3912
465,123169
472,4035
478,140733
495,4010
499,100128977
509,4233
510,83552
517,406928
522,2475
525,4628
529,4644
531,4650
540,89797
544,9611
548,9603
552,22981
556,340533
557,22871
560,57502
583,9891
584,134492
590,4983
594,119772
595,161725
600,5021
601,5026
602,8974
606,5053
608,5062
610,117583
641,8864
650,57661
654,23236
658,91584
659,5364
672,57580
673,144165
674,166336
677,5579
679,25865
681,5071
682,5625
691,100873065
693,5245
697,5444
708,149628
709,54870
711,5862
713,339122
718,57148
719,64901
722,54715
723,54439
736,6092
742,10055
749,6305
750,57466
759,6335
762,9037
764,6418
776,50944
780,6473
783,57468
794,10237
795,124565
800,6531
803,84889
804,8140
809,26050
810,4089
812,6597
822,27131
825,8404
827,23013
831,9295
834,8128
838,22986
840,134957
853,6878
856,9344
858,93594
865,11198
877,7014
879,54790
886,55217
887,23112
891,83696
894,7225
895,4308
917,9690
918,254048
919,51366
922,57578
927,9958
928,85015
929,7874
933,7429
948,57705
952,51741
966,23211
968,10771
971,57178
981,91752
986,339145
987,4479
990,140758
