,GeneID
14,23394
16,158
17,2334
27,27245
31,7915
34,287
35,288
37,29123
48,23229
49,57492
52,170302
55,55870
61,1175
62,80816
70,546
71,26053
74,29994
77,10295
78,53335
81,673
84,9024
95,775
97,777
105,55799
116,4076
118,8573
119,54897
141,6792
144,56853
150,283489
152,1106
153,1107
154,55636
155,57680
163,23152
172,4849
185,1387
187,11151
188,7812
192,10664
196,1499
199,8452
211,1654
213,10522
216,1717
218,23181
226,1742
234,1760
241,1788
251,1808
255,1826
261,1778
262,1859
266,253738
270,79813
272,8666
276,1995
279,2033
307,2332
308,2290
309,27086
316,93986
322,2562
331,64599
332,26058
346,2891
353,2561
356,2670
357,2770
363,2904
374,3069
375,283450
379,3097
382,3188
383,3192
386,3265
410,23096
411,64207
418,284058
422,83473
423,3745
433,3786
437,51780
440,10765
443,23135
451,4297
452,58508
453,55904
454,51111
455,9778
463,8861
477,8216
479,54551
487,55777
489,79143
494,4204
496,57689
498,4130
501,9969
502,23389
506,4212
532,23040
533,80155
534,283078
539,112939
541,26960
542,10787
547,4763
555,25836
558,57555
559,54413
564,4306
565,4929
568,9378
570,8648
574,9379
575,9369
576,64324
597,9631
603,55690
612,5079
620,57526
643,5253
644,51317
645,23469
647,55023
649,57649
661,23126
663,55624
671,5528
684,57479
687,5718
689,139411
690,5728
699,84687
700,5536
702,5754
703,5781
716,10743
725,5649
726,473
727,5991
730,22999
738,6096
748,6304
752,6323
753,6326
758,6334
765,26040
767,29072
768,55209
777,22941
778,85358
782,25942
798,6529
799,6497
806,10479
813,6601
823,6651
824,6660
826,6683
829,10847
837,6812
847,8831
848,6734
854,26115
855,57551
860,93627
861,79718
862,10716
873,6942
874,6925
875,6934
882,11011
889,84231
892,7204
893,9320
897,7248
898,7249
899,7010
902,9777
905,373
907,57616
916,7337
925,65109
934,157680
936,51322
938,23001
946,7716
959,197131
964,26137
970,23036
972,23613
974,58499
